conflict_id,person_id,activity_1,activity_2,time_interval,conflict_type,overlap_minutes,severity
798,P011,Training,Brainstorming,2025-11-10 08:43 - 2025-11-10 09:15,partial overlap,32,Medium
799,P011,Training,Product Demo,2025-11-08 10:30 - 2025-11-08 10:45,partial overlap,15,Medium
800,P011,Operations Check,Deployment,2025-11-10 08:30 - 2025-11-10 09:00,containment,30,Medium
801,P011,Training,Deployment,2025-11-10 08:43 - 2025-11-10 09:00,partial overlap,17,Medium
802,P011,Design Review,Requirements Analysis,2025-11-11 13:23 - 2025-11-11 14:00,partial overlap,37,Medium
803,P011,Operations Check,Training,2025-11-10 08:43 - 2025-11-10 09:08,partial overlap,25,Medium
804,P011,One-on-One,Meeting,2025-11-13 11:35 - 2025-11-13 11:56,containment,21,Medium
805,P011,One-on-One,Meeting,2025-11-17 17:45 - 2025-11-17 18:00,full overlap,15,Medium
806,P011,Operations Check,Team Building,2025-11-19 10:45 - 2025-11-19 11:00,partial overlap,15,Medium
807,P011,Operations Check,Code Review,2025-11-18 18:45 - 2025-11-18 19:15,partial overlap,30,Medium
808,P011,Operations Check,Training,2025-11-19 10:15 - 2025-11-19 10:45,partial overlap,30,Medium
809,P011,Deployment,Operations Check,2025-11-21 11:24 - 2025-11-21 11:47,containment,23,Medium
810,P011,Brainstorming,One-on-One,2025-11-24 17:52 - 2025-11-24 18:00,partial overlap,8,Low
811,P011,Tech Sharing,Deployment,2025-11-19 08:40 - 2025-11-19 09:00,partial overlap,20,Medium
812,P011,Tech Sharing,Client Visit,2025-11-19 09:15 - 2025-11-19 09:26,partial overlap,11,Low
813,P011,Client Visit,Deployment,2025-11-20 12:45 - 2025-11-20 13:15,containment,30,Medium
814,P012,Client Visit,Client Visit,2025-10-06 12:27 - 2025-10-06 12:57,containment,30,Medium
815,P012,Project Discussion,Client Visit,2025-10-09 18:11 - 2025-10-09 18:30,partial overlap,19,Medium
816,P012,Team Building,Operations Check,2025-10-13 18:45 - 2025-10-13 19:00,partial overlap,15,Medium
817,P012,Design Review,Product Demo,2025-10-14 12:18 - 2025-10-14 12:54,containment,36,Medium
818,P012,Client Visit,Product Demo,2025-10-14 12:23 - 2025-10-14 13:00,partial overlap,37,Medium
819,P012,Code Review,Design Review,2025-10-12 13:03 - 2025-10-12 13:30,partial overlap,27,Medium
820,P012,Meeting,Deployment,2025-10-15 17:00 - 2025-10-15 17:03,partial overlap,3,Low
821,P012,Code Review,Requirements Analysis,2025-10-20 15:00 - 2025-10-20 15:30,partial overlap,30,Medium
822,P012,One-on-One,Requirements Analysis,2025-10-20 15:09 - 2025-10-20 15:45,partial overlap,36,Medium
823,P012,Deployment,Operations Check,2025-10-20 16:39 - 2025-10-20 17:00,partial overlap,21,Medium
824,P012,Meeting,Tech Sharing,2025-10-15 16:05 - 2025-10-15 16:15,partial overlap,10,Low
825,P012,One-on-One,Project Discussion,2025-10-20 15:45 - 2025-10-20 15:54,partial overlap,9,Low
826,P012,Brainstorming,Code Review,2025-10-15 08:38 - 2025-10-15 09:00,partial overlap,22,Medium
827,P012,Testing Acceptance,Code Review,2025-10-22 16:24 - 2025-10-22 16:45,partial overlap,21,Medium
828,P012,One-on-One,Code Review,2025-10-20 15:09 - 2025-10-20 15:30,partial overlap,21,Medium
829,P012,Client Visit,Code Review,2025-10-21 12:00 - 2025-10-21 12:15,partial overlap,15,Medium
830,P012,Client Visit,Design Review,2025-10-14 12:23 - 2025-10-14 12:54,partial overlap,31,Medium
831,P012,Tech Sharing,Project Discussion,2025-10-25 08:50 - 2025-10-25 09:30,partial overlap,40,Medium
832,P012,Product Demo,Requirements Analysis,2025-10-23 12:30 - 2025-10-23 12:45,partial overlap,15,Medium
833,P012,Design Review,Requirements Analysis,2025-10-23 12:30 - 2025-10-23 12:45,partial overlap,15,Medium
834,P012,Client Visit,Requirements Analysis,2025-10-23 12:36 - 2025-10-23 12:45,partial overlap,9,Low
835,P012,Requirements Analysis,Client Visit,2025-10-27 09:00 - 2025-10-27 09:15,containment,15,Medium
836,P012,Meeting,Training,2025-10-23 16:15 - 2025-10-23 16:30,containment,15,Medium
837,P012,Product Demo,Operations Check,2025-10-23 13:00 - 2025-10-23 13:15,partial overlap,15,Medium
838,P012,Client Visit,Operations Check,2025-10-23 13:00 - 2025-10-23 13:01,partial overlap,1,Low
839,P012,Meeting,Operations Check,2025-10-23 13:00 - 2025-10-23 13:22,partial overlap,22,Medium
840,P012,Deployment,Code Review,2025-10-23 18:58 - 2025-10-23 19:00,partial overlap,2,Low
841,P012,Requirements Analysis,Tech Sharing,2025-10-26 11:15 - 2025-10-26 11:30,partial overlap,15,Medium
842,P012,Design Review,Product Demo,2025-10-23 12:30 - 2025-10-23 13:00,containment,30,Medium
843,P012,Client Visit,Product Demo,2025-10-23 12:36 - 2025-10-23 13:01,containment,25,Medium
844,P012,Meeting,Product Demo,2025-10-23 12:47 - 2025-10-23 13:15,partial overlap,28,Medium
845,P012,Client Visit,Design Review,2025-10-23 12:36 - 2025-10-23 13:00,partial overlap,24,Medium
846,P012,Meeting,Design Review,2025-10-23 12:47 - 2025-10-23 13:00,partial overlap,13,Low
847,P012,Requirements Analysis,Tech Sharing,2025-10-30 09:52 - 2025-10-30 10:30,partial overlap,38,Medium
848,P012,Client Visit,Project Discussion,2025-10-28 14:06 - 2025-10-28 14:30,partial overlap,24,Medium
849,P012,Deployment,Deployment,2025-10-26 12:27 - 2025-10-26 12:30,partial overlap,3,Low
850,P012,Meeting,Client Visit,2025-10-23 12:47 - 2025-10-23 13:01,partial overlap,14,Low
851,P012,One-on-One,Project Discussion,2025-11-03 10:57 - 2025-11-03 11:00,partial overlap,3,Low
852,P012,Tech Sharing,Product Demo,2025-11-05 17:45 - 2025-11-05 18:30,full overlap,45,High
853,P012,Training,Code Review,2025-11-09 13:00 - 2025-11-09 13:15,partial overlap,15,Medium
854,P012,Design Review,Operations Check,2025-11-10 12:08 - 2025-11-10 12:45,partial overlap,37,Medium
855,P012,Project Discussion,Operations Check,2025-11-10 12:28 - 2025-11-10 12:45,partial overlap,17,Medium
856,P012,Operations Check,One-on-One,2025-11-11 13:44 - 2025-11-11 14:05,containment,21,Medium
857,P012,Operations Check,Project Discussion,2025-11-13 13:45 - 2025-11-13 14:30,partial overlap,45,High
858,P012,Meeting,Deployment,2025-11-13 11:30 - 2025-11-13 11:45,partial overlap,15,Medium
859,P012,Operations Check,Deployment,2025-11-13 11:30 - 2025-11-13 11:45,partial overlap,15,Medium
860,P012,Meeting,Product Demo,2025-11-15 16:15 - 2025-11-15 16:30,partial overlap,15,Medium
861,P012,Operations Check,Code Review,2025-11-14 10:00 - 2025-11-14 10:15,partial overlap,15,Medium
862,P012,Operations Check,Meeting,2025-11-13 11:30 - 2025-11-13 12:15,full overlap,45,High
863,P012,Client Visit,Client Visit,2025-11-12 13:00 - 2025-11-12 13:30,partial overlap,30,Medium
864,P012,Code Review,Client Visit,2025-11-12 13:15 - 2025-11-12 13:30,partial overlap,15,Medium
865,P012,Client Visit,Project Discussion,2025-11-12 13:30 - 2025-11-12 13:45,partial overlap,15,Medium
866,P012,Code Review,Project Discussion,2025-11-12 13:30 - 2025-11-12 13:45,partial overlap,15,Medium
867,P012,Product Demo,Project Discussion,2025-11-12 13:48 - 2025-11-12 14:00,partial overlap,12,Low
868,P012,Project Discussion,Design Review,2025-11-10 12:28 - 2025-11-10 12:52,containment,24,Medium
869,P012,Client Visit,Code Review,2025-11-12 13:15 - 2025-11-12 13:45,containment,30,Medium
870,P012,Design Review,Brainstorming,2025-11-19 13:15 - 2025-11-19 13:45,full overlap,30,Medium
871,P012,Brainstorming,Brainstorming,2025-11-19 13:37 - 2025-11-19 13:45,partial overlap,8,Low
872,P012,Brainstorming,Training,2025-11-18 18:58 - 2025-11-18 19:15,partial overlap,17,Medium
873,P012,Requirements Analysis,Client Visit,2025-11-17 17:26 - 2025-11-17 17:45,partial overlap,19,Medium
874,P012,Testing Acceptance,Deployment,2025-11-22 15:30 - 2025-11-22 15:45,containment,15,Medium
875,P012,Product Demo,Deployment,2025-11-22 15:50 - 2025-11-22 16:00,partial overlap,10,Low
876,P012,Brainstorming,Design Review,2025-11-19 13:37 - 2025-11-19 13:45,partial overlap,8,Low
877,P012,Requirements Analysis,One-on-One,2025-11-17 18:00 - 2025-11-17 18:04,partial overlap,4,Low
878,P012,Meeting,Client Visit,2025-11-15 12:12 - 2025-11-15 12:33,partial overlap,21,Medium
879,P013,Tech Sharing,Project Discussion,2025-10-10 13:30 - 2025-10-10 14:30,containment,60,High
880,P013,Testing Acceptance,One-on-One,2025-10-10 10:37 - 2025-10-10 11:15,partial overlap,38,Medium
881,P013,Tech Sharing,Meeting,2025-10-16 14:45 - 2025-10-16 15:15,partial overlap,30,Medium
882,P013,One-on-One,Client Visit,2025-10-13 15:15 - 2025-10-13 16:00,containment,45,High
883,P013,Design Review,Client Visit,2025-10-13 15:15 - 2025-10-13 15:31,partial overlap,16,Medium
884,P013,Design Review,One-on-One,2025-10-13 15:12 - 2025-10-13 15:31,containment,19,Medium
885,P013,Tech Sharing,Code Review,2025-10-19 16:30 - 2025-10-19 16:45,partial overlap,15,Medium
886,P013,Design Review,Tech Sharing,2025-10-18 11:30 - 2025-10-18 12:00,containment,30,Medium
887,P013,Design Review,Tech Sharing,2025-10-18 11:41 - 2025-10-18 12:00,partial overlap,19,Medium
888,P013,Product Demo,Design Review,2025-10-20 17:40 - 2025-10-20 17:55,containment,15,Medium
889,P013,Training,Design Review,2025-10-23 10:00 - 2025-10-23 10:30,partial overlap,30,Medium
890,P013,Design Review,Design Review,2025-10-18 11:41 - 2025-10-18 12:00,partial overlap,19,Medium
891,P013,One-on-One,Product Demo,2025-10-24 18:45 - 2025-10-24 19:00,partial overlap,15,Medium
892,P013,Team Building,Operations Check,2025-10-24 10:00 - 2025-10-24 10:15,containment,15,Medium
893,P013,Tech Sharing,Testing Acceptance,2025-10-22 13:43 - 2025-10-22 14:15,partial overlap,32,Medium
894,P013,Tech Sharing,Training,2025-10-26 09:23 - 2025-10-26 09:30,partial overlap,7,Low
895,P013,Meeting,One-on-One,2025-10-27 11:15 - 2025-10-27 11:30,partial overlap,15,Medium
896,P013,Product Demo,Design Review,2025-10-27 16:15 - 2025-10-27 16:30,containment,15,Medium
897,P013,Tech Sharing,Design Review,2025-10-27 16:15 - 2025-10-27 16:30,containment,15,Medium
898,P013,Meeting,Requirements Analysis,2025-10-27 11:30 - 2025-10-27 11:45,containment,15,Medium
899,P013,Team Building,Training,2025-10-28 13:55 - 2025-10-28 14:15,partial overlap,20,Medium
900,P013,Tech Sharing,Product Demo,2025-10-27 16:09 - 2025-10-27 16:45,partial overlap,36,Medium
901,P013,Product Demo,Tech Sharing,2025-10-30 09:30 - 2025-10-30 09:45,partial overlap,15,Medium
902,P013,Product Demo,Code Review,2025-10-29 18:11 - 2025-10-29 18:30,partial overlap,19,Medium
903,P013,Project Discussion,Brainstorming,2025-10-29 13:28 - 2025-10-29 14:00,partial overlap,32,Medium
904,P013,Project Discussion,Brainstorming,2025-10-29 08:50 - 2025-10-29 09:00,partial overlap,10,Low
905,P013,Deployment,Project Discussion,2025-10-29 09:02 - 2025-10-29 09:08,partial overlap,6,Low
906,P013,Deployment,Deployment,2025-10-29 09:13 - 2025-10-29 10:02,containment,49,High
907,P013,Brainstorming,Meeting,2025-10-23 09:15 - 2025-10-23 09:32,containment,17,Medium
908,P013,Client Visit,Meeting,2025-11-01 09:52 - 2025-11-01 10:30,partial overlap,38,Medium
909,P013,Requirements Analysis,Brainstorming,2025-11-09 13:26 - 2025-11-09 13:56,containment,30,Medium
910,P013,Brainstorming,Brainstorming,2025-11-09 13:45 - 2025-11-09 14:00,partial overlap,15,Medium
911,P013,Tech Sharing,Testing Acceptance,2025-11-07 13:14 - 2025-11-07 13:45,partial overlap,31,Medium
912,P013,Team Building,Training,2025-11-07 18:40 - 2025-11-07 19:00,partial overlap,20,Medium
913,P013,Requirements Analysis,Brainstorming,2025-11-09 13:45 - 2025-11-09 13:56,partial overlap,11,Low
914,P013,Operations Check,Design Review,2025-11-13 14:45 - 2025-11-13 15:15,partial overlap,30,Medium
915,P013,Design Review,Design Review,2025-11-13 15:11 - 2025-11-13 15:15,partial overlap,4,Low
916,P013,Team Building,Design Review,2025-11-13 16:30 - 2025-11-13 16:45,containment,15,Medium
917,P013,Requirements Analysis,Meeting,2025-11-14 16:06 - 2025-11-14 16:23,containment,17,Medium
918,P013,Team Building,Meeting,2025-11-14 16:06 - 2025-11-14 16:24,containment,18,Medium
919,P013,Requirements Analysis,Meeting,2025-11-14 16:15 - 2025-11-14 16:30,partial overlap,15,Medium
920,P013,Testing Acceptance,Testing Acceptance,2025-11-16 18:00 - 2025-11-16 18:15,partial overlap,15,Medium
921,P013,Operations Check,Requirements Analysis,2025-11-14 13:20 - 2025-11-14 13:45,partial overlap,25,Medium
922,P013,Brainstorming,Requirements Analysis,2025-11-14 13:28 - 2025-11-14 13:45,partial overlap,17,Medium
923,P013,Testing Acceptance,Requirements Analysis,2025-11-14 13:30 - 2025-11-14 13:45,containment,15,Medium
924,P013,Design Review,Operations Check,2025-11-13 15:11 - 2025-11-13 15:30,partial overlap,19,Medium
925,P013,Testing Acceptance,Client Visit,2025-11-16 18:45 - 2025-11-16 18:50,partial overlap,5,Low
926,P013,Operations Check,Testing Acceptance,2025-11-14 13:30 - 2025-11-14 13:45,containment,15,Medium
927,P013,Brainstorming,Testing Acceptance,2025-11-14 13:30 - 2025-11-14 13:45,containment,15,Medium
928,P013,Design Review,Deployment,2025-11-19 17:45 - 2025-11-19 18:00,containment,15,Medium
929,P013,Tech Sharing,Design Review,2025-11-19 18:15 - 2025-11-19 18:30,partial overlap,15,Medium
930,P013,Operations Check,Product Demo,2025-11-14 17:52 - 2025-11-14 18:15,partial overlap,23,Medium
931,P013,Brainstorming,Requirements Analysis,2025-11-20 13:00 - 2025-11-20 13:15,full overlap,15,Medium
932,P013,Team Building,Requirements Analysis,2025-11-20 13:05 - 2025-11-20 13:15,partial overlap,10,Low
933,P013,Design Review,Product Demo,2025-11-21 11:45 - 2025-11-21 12:00,partial overlap,15,Medium
934,P013,Brainstorming,Code Review,2025-11-23 13:41 - 2025-11-23 13:45,partial overlap,4,Low
935,P013,One-on-One,Client Visit,2025-11-24 18:42 - 2025-11-24 19:13,containment,31,Medium
936,P013,Product Demo,Client Visit,2025-11-24 19:11 - 2025-11-24 19:15,partial overlap,4,Low
937,P013,Team Building,Brainstorming,2025-11-20 13:05 - 2025-11-20 13:15,partial overlap,10,Low
938,P013,Brainstorming,Operations Check,2025-11-14 13:28 - 2025-11-14 13:53,partial overlap,25,Medium
939,P013,Team Building,Requirements Analysis,2025-11-14 16:06 - 2025-11-14 16:23,containment,17,Medium
940,P013,Requirements Analysis,Requirements Analysis,2025-11-14 16:15 - 2025-11-14 16:23,partial overlap,8,Low
941,P013,Product Demo,One-on-One,2025-11-24 19:11 - 2025-11-24 19:13,partial overlap,2,Low
942,P013,Team Building,Requirements Analysis,2025-11-14 16:15 - 2025-11-14 16:24,partial overlap,9,Low
943,P014,Client Visit,Meeting,2025-10-09 10:15 - 2025-10-09 10:30,partial overlap,15,Medium
944,P014,Meeting,Meeting,2025-10-09 10:15 - 2025-10-09 10:34,partial overlap,19,Medium
945,P014,Product Demo,Requirements Analysis,2025-10-09 12:00 - 2025-10-09 12:15,partial overlap,15,Medium
946,P014,Tech Sharing,Requirements Analysis,2025-10-09 12:05 - 2025-10-09 12:15,partial overlap,10,Low
947,P014,Training,Client Visit,2025-10-05 12:35 - 2025-10-05 13:00,partial overlap,25,Medium
948,P014,Team Building,Client Visit,2025-10-09 10:00 - 2025-10-09 10:15,partial overlap,15,Medium
949,P014,Meeting,Client Visit,2025-10-09 10:00 - 2025-10-09 10:30,containment,30,Medium
950,P014,Tech Sharing,Product Demo,2025-10-09 12:05 - 2025-10-09 12:50,containment,45,High
951,P014,Product Demo,Product Demo,2025-10-09 12:17 - 2025-10-09 12:45,containment,28,Medium
952,P014,Meeting,Team Building,2025-10-09 10:00 - 2025-10-09 10:15,partial overlap,15,Medium
953,P014,Project Discussion,Team Building,2025-10-11 17:45 - 2025-10-11 18:30,partial overlap,45,High
954,P014,Code Review,Project Discussion,2025-10-15 16:15 - 2025-10-15 16:45,partial overlap,30,Medium
955,P014,Product Demo,Tech Sharing,2025-10-09 12:17 - 2025-10-09 12:45,containment,28,Medium
956,P014,Product Demo,Project Discussion,2025-10-18 09:00 - 2025-10-18 09:15,partial overlap,15,Medium
957,P014,Training,Code Review,2025-10-21 12:00 - 2025-10-21 12:30,containment,30,Medium
958,P014,Testing Acceptance,Testing Acceptance,2025-10-21 16:30 - 2025-10-21 17:00,partial overlap,30,Medium
959,P014,Brainstorming,Client Visit,2025-10-23 09:00 - 2025-10-23 09:15,containment,15,Medium
960,P014,Meeting,Operations Check,2025-10-18 12:00 - 2025-10-18 12:15,partial overlap,15,Medium
961,P014,Testing Acceptance,Testing Acceptance,2025-10-20 08:30 - 2025-10-20 08:45,partial overlap,15,Medium
962,P014,Deployment,Testing Acceptance,2025-10-18 15:28 - 2025-10-18 15:45,partial overlap,17,Medium
963,P014,Operations Check,One-on-One,2025-10-26 11:00 - 2025-10-26 11:15,partial overlap,15,Medium
964,P014,Design Review,Testing Acceptance,2025-10-20 15:00 - 2025-10-20 15:30,containment,30,Medium
965,P014,Client Visit,Testing Acceptance,2025-10-20 15:23 - 2025-10-20 15:30,partial overlap,7,Low
966,P014,Client Visit,Design Review,2025-10-20 15:23 - 2025-10-20 15:42,containment,19,Medium
967,P014,Client Visit,One-on-One,2025-10-20 11:19 - 2025-10-20 11:44,containment,25,Medium
968,P014,Brainstorming,Tech Sharing,2025-10-27 18:38 - 2025-10-27 19:00,partial overlap,22,Medium
969,P014,Requirements Analysis,Meeting,2025-10-25 12:15 - 2025-10-25 12:30,containment,15,Medium
970,P014,Requirements Analysis,Brainstorming,2025-10-27 08:30 - 2025-10-27 08:45,containment,15,Medium
971,P014,One-on-One,Project Discussion,2025-10-25 16:15 - 2025-10-25 16:36,partial overlap,21,Medium
972,P014,One-on-One,Design Review,2025-10-25 16:08 - 2025-10-25 16:15,partial overlap,7,Low
973,P014,Code Review,Product Demo,2025-10-30 16:45 - 2025-10-30 17:12,partial overlap,27,Medium
974,P014,One-on-One,Product Demo,2025-10-30 16:45 - 2025-10-30 17:15,partial overlap,30,Medium
975,P014,Training,Product Demo,2025-10-30 16:57 - 2025-10-30 17:30,partial overlap,33,Medium
976,P014,Project Discussion,One-on-One,2025-10-30 16:30 - 2025-10-30 16:45,partial overlap,15,Medium
977,P014,Code Review,One-on-One,2025-10-30 16:30 - 2025-10-30 17:12,partial overlap,42,Medium
978,P014,Training,One-on-One,2025-10-30 16:57 - 2025-10-30 17:15,partial overlap,18,Medium
979,P014,Code Review,Project Discussion,2025-10-30 16:21 - 2025-10-30 16:45,partial overlap,24,Medium
980,P014,Client Visit,Requirements Analysis,2025-10-26 12:47 - 2025-10-26 13:15,partial overlap,28,Medium
981,P014,Training,Code Review,2025-10-30 16:57 - 2025-10-30 17:12,partial overlap,15,Medium
982,P014,Client Visit,Brainstorming,2025-11-02 13:45 - 2025-11-02 14:45,containment,60,High
983,P014,Training,Client Visit,2025-11-08 15:30 - 2025-11-08 16:00,containment,30,Medium
984,P014,Project Discussion,Operations Check,2025-11-04 13:30 - 2025-11-04 13:45,partial overlap,15,Medium
985,P014,Deployment,Code Review,2025-11-06 14:30 - 2025-11-06 15:00,containment,30,Medium
986,P014,Project Discussion,Operations Check,2025-11-07 18:57 - 2025-11-07 19:25,containment,28,Medium
987,P014,Brainstorming,Client Visit,2025-11-06 09:09 - 2025-11-06 09:30,partial overlap,21,Medium
988,P014,Deployment,Brainstorming,2025-11-11 15:35 - 2025-11-11 16:29,containment,54,High
989,P014,Requirements Analysis,Design Review,2025-11-14 16:00 - 2025-11-14 16:45,full overlap,45,High
990,P014,Operations Check,Design Review,2025-11-14 16:30 - 2025-11-14 16:45,containment,15,Medium
991,P014,Team Building,Client Visit,2025-11-15 09:30 - 2025-11-15 10:15,containment,45,High
992,P014,Product Demo,Code Review,2025-11-14 10:00 - 2025-11-14 10:30,containment,30,Medium
993,P014,One-on-One,Meeting,2025-11-14 18:30 - 2025-11-14 18:45,containment,15,Medium
994,P014,Brainstorming,Deployment,2025-11-15 12:15 - 2025-11-15 12:30,partial overlap,15,Medium
995,P014,Training,Deployment,2025-11-15 12:30 - 2025-11-15 12:45,partial overlap,15,Medium
996,P014,Requirements Analysis,Operations Check,2025-11-14 16:30 - 2025-11-14 16:45,containment,15,Medium
997,P014,Training,Operations Check,2025-11-19 18:40 - 2025-11-19 19:00,partial overlap,20,Medium
998,P014,Code Review,Tech Sharing,2025-11-20 11:29 - 2025-11-20 11:45,partial overlap,16,Medium
999,P014,One-on-One,Tech Sharing,2025-11-20 11:30 - 2025-11-20 11:45,containment,15,Medium
1000,P014,Brainstorming,Design Review,2025-11-16 16:15 - 2025-11-16 16:30,containment,15,Medium
1001,P014,Tech Sharing,Design Review,2025-11-16 16:15 - 2025-11-16 16:30,full overlap,15,Medium
1002,P014,Brainstorming,Tech Sharing,2025-11-16 16:15 - 2025-11-16 16:30,containment,15,Medium
1003,P014,Requirements Analysis,Deployment,2025-11-17 18:25 - 2025-11-17 18:45,partial overlap,20,Medium
1004,P014,Training,Deployment,2025-11-17 18:31 - 2025-11-17 18:45,partial overlap,14,Low
1005,P014,Code Review,One-on-One,2025-11-20 11:30 - 2025-11-20 11:45,containment,15,Medium
1006,P014,Code Review,Deployment,2025-11-20 12:00 - 2025-11-20 12:28,partial overlap,28,Medium
1007,P014,Team Building,Deployment,2025-11-20 12:00 - 2025-11-20 12:15,containment,15,Medium
1008,P014,Code Review,Team Building,2025-11-20 12:00 - 2025-11-20 12:15,containment,15,Medium
1009,P014,Testing Acceptance,Project Discussion,2025-11-24 17:05 - 2025-11-24 17:15,partial overlap,10,Low
1010,P014,Brainstorming,Testing Acceptance,2025-11-19 12:15 - 2025-11-19 12:20,partial overlap,5,Low
1011,P014,Requirements Analysis,Training,2025-11-17 18:31 - 2025-11-17 19:00,containment,29,Medium
1012,P015,Team Building,Tech Sharing,2025-10-19 17:45 - 2025-10-19 18:00,partial overlap,15,Medium
1013,P015,Product Demo,Testing Acceptance,2025-10-22 11:15 - 2025-10-22 11:45,containment,30,Medium
1014,P015,Testing Acceptance,Code Review,2025-10-25 18:14 - 2025-10-25 18:30,partial overlap,16,Medium
1015,P015,Team Building,Code Review,2025-10-25 18:15 - 2025-10-25 18:30,partial overlap,15,Medium
1016,P015,Operations Check,Product Demo,2025-10-25 08:30 - 2025-10-25 09:00,containment,30,Medium
1017,P015,Product Demo,Product Demo,2025-10-25 08:30 - 2025-10-25 09:00,partial overlap,30,Medium
1018,P015,Operations Check,Product Demo,2025-10-25 08:52 - 2025-10-25 09:00,partial overlap,8,Low
1019,P015,Product Demo,Operations Check,2025-10-25 08:30 - 2025-10-25 09:00,containment,30,Medium
1020,P015,Operations Check,Operations Check,2025-10-25 08:52 - 2025-10-25 09:00,partial overlap,8,Low
1021,P015,Brainstorming,Meeting,2025-10-24 09:05 - 2025-10-24 09:41,containment,36,Medium
1022,P015,Requirements Analysis,Meeting,2025-10-24 09:15 - 2025-10-24 09:45,containment,30,Medium
1023,P015,Testing Acceptance,Code Review,2025-10-28 13:15 - 2025-10-28 13:30,partial overlap,15,Medium
1024,P015,Testing Acceptance,Team Building,2025-10-25 18:15 - 2025-10-25 18:45,containment,30,Medium
1025,P015,Brainstorming,Requirements Analysis,2025-10-24 09:15 - 2025-10-24 09:41,partial overlap,26,Medium
1026,P015,Testing Acceptance,Training,2025-10-25 18:45 - 2025-10-25 18:57,partial overlap,12,Low
1027,P015,Brainstorming,Training,2025-10-25 18:57 - 2025-10-25 19:14,containment,17,Medium
1028,P015,One-on-One,Team Building,2025-10-24 10:57 - 2025-10-24 11:30,containment,33,Medium
1029,P015,Brainstorming,Training,2025-10-31 09:15 - 2025-10-31 09:30,full overlap,15,Medium
1030,P015,Operations Check,Product Demo,2025-10-25 08:52 - 2025-10-25 09:15,partial overlap,23,Medium
1031,P015,Design Review,Meeting,2025-11-01 17:15 - 2025-11-01 17:30,containment,15,Medium
1032,P015,One-on-One,Meeting,2025-11-01 17:17 - 2025-11-01 17:30,partial overlap,13,Low
1033,P015,Testing Acceptance,Meeting,2025-11-01 17:21 - 2025-11-01 17:30,partial overlap,9,Low
1034,P015,Design Review,Requirements Analysis,2025-11-01 17:45 - 2025-11-01 18:00,partial overlap,15,Medium
1035,P015,One-on-One,Requirements Analysis,2025-11-01 17:45 - 2025-11-01 18:01,partial overlap,16,Medium
1036,P015,Brainstorming,Requirements Analysis,2025-11-01 17:45 - 2025-11-01 18:15,containment,30,Medium
1037,P015,Requirements Analysis,Requirements Analysis,2025-11-01 17:46 - 2025-11-01 18:15,partial overlap,29,Medium
1038,P015,Tech Sharing,Training,2025-11-03 14:30 - 2025-11-03 14:45,partial overlap,15,Medium
1039,P015,One-on-One,Design Review,2025-11-01 17:17 - 2025-11-01 18:00,partial overlap,43,Medium
1040,P015,Testing Acceptance,Design Review,2025-11-01 17:21 - 2025-11-01 17:45,containment,24,Medium
1041,P015,Brainstorming,Design Review,2025-11-01 17:33 - 2025-11-01 18:00,partial overlap,27,Medium
1042,P015,Requirements Analysis,Design Review,2025-11-01 17:46 - 2025-11-01 18:00,partial overlap,14,Low
1043,P015,Requirements Analysis,Client Visit,2025-11-01 18:30 - 2025-11-01 18:46,partial overlap,16,Medium
1044,P015,Team Building,Project Discussion,2025-11-03 13:23 - 2025-11-03 13:45,partial overlap,22,Medium
1045,P015,Testing Acceptance,One-on-One,2025-11-01 17:21 - 2025-11-01 17:45,containment,24,Medium
1046,P015,Brainstorming,One-on-One,2025-11-01 17:33 - 2025-11-01 18:01,partial overlap,28,Medium
1047,P015,Requirements Analysis,One-on-One,2025-11-01 17:46 - 2025-11-01 18:01,partial overlap,15,Medium
1048,P015,Testing Acceptance,Brainstorming,2025-11-01 17:33 - 2025-11-01 17:45,partial overlap,12,Low
1049,P015,Requirements Analysis,Brainstorming,2025-11-01 17:46 - 2025-11-01 18:17,partial overlap,31,Medium
1050,P015,Brainstorming,Testing Acceptance,2025-11-09 11:00 - 2025-11-09 11:15,partial overlap,15,Medium
1051,P015,Operations Check,Testing Acceptance,2025-11-09 11:00 - 2025-11-09 11:30,containment,30,Medium
1052,P015,Testing Acceptance,Meeting,2025-11-10 15:15 - 2025-11-10 16:00,full overlap,45,High
1053,P015,Brainstorming,One-on-One,2025-11-09 10:35 - 2025-11-09 11:00,partial overlap,25,Medium
1054,P015,Operations Check,One-on-One,2025-11-09 10:45 - 2025-11-09 11:00,partial overlap,15,Medium
1055,P015,Training,Design Review,2025-11-13 18:44 - 2025-11-13 19:30,partial overlap,46,High
1056,P015,Deployment,Operations Check,2025-11-09 16:13 - 2025-11-09 16:28,containment,15,Medium
1057,P015,Team Building,Client Visit,2025-11-16 13:32 - 2025-11-16 13:45,partial overlap,13,Low
1058,P015,Operations Check,Operations Check,2025-11-12 18:15 - 2025-11-12 18:30,partial overlap,15,Medium
1059,P015,Meeting,Design Review,2025-11-17 11:00 - 2025-11-17 11:15,containment,15,Medium
1060,P015,Deployment,Project Discussion,2025-11-13 15:45 - 2025-11-13 16:30,containment,45,High
1061,P015,Operations Check,Brainstorming,2025-11-09 10:45 - 2025-11-09 11:15,partial overlap,30,Medium
1062,P015,Product Demo,Brainstorming,2025-11-18 16:15 - 2025-11-18 16:30,partial overlap,15,Medium
1063,P015,Product Demo,Brainstorming,2025-11-18 16:15 - 2025-11-18 16:45,containment,30,Medium
